year,id_c,state,first_rate_change_year,ever_treated,tp,event_time_rate_change,grund_perfirm,high_gw_rate,rate_gw,log_gdp,log_mean_precip,log_sw_area,log_pop_density,log_fremdbezug,post,log_grund_perfirm,ln_rate
2019,1051,1,2016,1,1,3,393.42857142857144,0,0.08,15.350925110049587,6.546941913447473,8.822616945344176,4.546481189639412,6.130915882243495,1,5.977438062874842,-2.5256036521201044
2019,1001,1,2016,1,1,3,244.83333333333334,0,0.08,15.19468462988275,6.645819606578503,6.699500340161678,7.439324263886028,3.8430301339411943,1,5.504653799545865,-2.5256036521201044
2019,1053,1,2016,1,1,3,25.75294117647059,0,0.08,15.387256779694257,6.516291690509786,8.558527054909215,5.061328408411774,2.951841850728721,1,3.286644417820165,-2.5256036521201044
2019,1002,1,2016,1,1,3,37.90909090909091,0,0.08,16.312468136085453,6.614859639477468,6.994849985833071,7.640603826393634,4.584039404358018,1,3.6612279227834263,-2.5256036521201044
2019,1003,1,2016,1,1,3,22.23076923076923,0,0.08,16.10314027473592,6.645819606578503,7.977968093128549,6.919585030735714,5.7840618407144655,1,3.145477659913333,-2.5256036521201044
2019,1004,1,2016,1,1,3,14.222222222222221,0,0.08,15.073905352201596,6.645819606578503,5.225746673713202,7.021173246017693,3.732364566053675,1,2.7227563484919055,-2.5256036521201044
2019,1054,1,2016,1,1,3,18.625,0,0.08,15.627659247115291,6.808818531122114,9.035986984831403,4.389498649512583,4.264438892446495,1,2.976804263668472,-2.5256036521201044
2019,1055,1,2016,1,1,3,19.848484848484848,0,0.08,15.542789104395942,6.411325535499879,8.640118538253535,4.976733742420574,3.7326063163268217,1,3.0372812764668633,-2.5256036521201044
2019,1056,1,2016,1,1,3,31.876712328767123,0,0.08,16.080743982053132,6.6943557666173215,8.236950048061455,6.167306825304179,2.9516229181085705,1,3.492764575187646,-2.5256036521201044
2019,1057,1,2016,1,1,3,7.785714285714286,0,0.08,14.83947688363369,6.64440803154515,9.309642573050043,4.785823685681349,2.740840023925201,1,2.1731270257571587,-2.5256036521201044
2019,1058,1,2016,1,1,3,71.30952380952381,0,0.08,15.965556871321656,6.810754782508282,9.166179476190411,4.837867950107113,2.008533572256785,1,4.280955846762381,-2.5256036521201044
2019,1059,1,2016,1,1,3,66.43243243243244,0,0.08,15.52902141749545,6.766306915397762,9.344171719609704,4.585987366571318,3.0686812732001587,1,4.2111260955413945,-2.5256036521201044
2019,1060,1,2016,1,1,3,38.24096385542169,0,0.08,16.026762073977977,6.64348586754075,7.8009820712577405,5.333684510385328,2.777845963037752,1,3.6697211974796358,-2.5256036521201044
2019,1061,1,2016,1,1,3,50.666666666666664,0,0.08,15.355176867207152,6.607352642120976,8.707152175339404,4.829113417472866,5.155216522907363,1,3.9448128282511368,-2.5256036521201044
2019,1062,1,2016,1,1,3,25.3125,0,0.08,15.96378027423594,6.607595685019244,7.093404625868766,5.767383056065796,4.470685958608297,1,3.2700441114426,-2.5256036521201044
2019,3101,3,2016,1,1,3,47.714285714285715,0,0.09,16.841151329890543,6.360956994757329,6.20050917404269,7.16649760753621,5.7056854248022875,1,3.8859723282282035,-2.4078345037131434
2019,3151,3,2016,1,1,3,572.7457627118644,0,0.09,15.15057635944338,6.656726524178391,7.718685495198466,4.732683506287051,3.609083891038901,1,6.3521863760958315,-2.4078345037131434
2019,3153,3,2016,1,1,3,49.857142857142854,0,0.09,15.204094795315267,6.7713397311777515,7.413970290190444,4.955827057601261,4.845685775386538,1,3.929020581796717,-2.4078345037131434
2019,3159,3,2016,1,1,3,303.19761904761907,0,0.09,16.287816231206296,6.5384292174898455,7.57095858316901,5.2295030505476765,4.5199753399248594,1,5.717677552863658,-2.4078345037131434
2019,3154,3,2016,1,1,3,229.27586206896552,0,0.09,14.470998964908032,6.282079813537204,6.99117688712121,4.912654885736052,2.516026558501805,1,5.439277990517126,-2.4078345037131434
2019,3155,3,2016,1,1,3,21.583333333333332,0,0.09,15.156976733402312,6.551437414140218,7.1846291527173145,4.6568134191399295,4.256794044864054,1,3.1172121710917007,-2.4078345037131434
2019,3157,3,2016,1,1,3,241.875,0,0.09,14.91910275959028,6.372807713095737,7.113142108707088,5.530618855647012,2.0825616690160795,1,5.492546907697604,-2.4078345037131434
