,year,id_c,county,state,grund,rate_gw,treated_b,high_gw_rate,rate_change,first_rate_change_year,ever_treated,rate_change_treatment_indicator,event_time_rate_change,eigengewinnung,fremdbezug,n_betriebe_eg,match_rpf_sa,match_rpf_sa_eng,high_gw_cont,gdp,gdp_pw,gdp_pc,perc_gruene,mean_precip,pop_density,sw_area,betrieb_wassernutzung,grund_perfirm,log_grund_perfirm,state_name,log_grund,log_rate_gw,log_perc_gruene,log_gdp,log_mean_precip,log_sw_area,log_pop_density,log_fremdbezug,post_b,treat_period_b,treat_post,eventtime_b,first_treat
0,2019,1051,Dithmarschen,1,8262.0,0.08,1,0,0,2016.0,1,1,3.0,36899.0,458.85714285714283,21.0,False,False,0.25806451612903225,4643249.0,74237.0,34859.0,0.08492817646797218,696.1090909090909,93.3,6785.0,40868,393.4761904761905,5.975020558977762,sh,9.019542996701185,-2.52571614438638,-2.4659375878347567,15.350925110049587,6.546941913447473,8.822616945344176,4.546481189639412,6.130915882243495,1,0,1,3,4
1,2019,1001,Flensburg,1,1469.0,0.08,1,0,0,2016.0,1,1,3.0,9601.0,45.666666666666664,6.0,False,False,0.25806451612903225,3971619.0,64479.0,44211.0,0.1426850133744608,768.5605260942762,1700.6,811.0,9808,245.0,5.501258210544727,sh,7.293017679772782,-2.52571614438638,-1.9471087734974397,15.19468462988275,6.645819606578503,6.699500340161678,7.439324263886028,3.8430301339411947,1,0,1,3,4
2,2019,1053,Herzogtum Lauenburg,1,2189.0,0.08,1,0,0,2016.0,1,1,3.0,8511.0,18.141176470588235,85.0,False,False,0.25806451612903225,4815048.0,67404.0,24362.0,0.11381543665690359,675.0666666666666,156.8,5210.0,9683,25.764705882352942,3.24900556632023,sh,7.691656822810547,-2.52571614438638,-2.1731683331246434,15.387256779694255,6.516291690509786,8.558527054909215,5.061328408411774,2.951841850728721,1,0,1,3,4
3,2019,1002,Kiel,1,417.0,0.08,1,0,0,2016.0,1,1,3.0,50059.0,96.9090909090909,11.0,False,False,0.25806451612903225,12145485.0,69131.0,49138.0,0.18341769504287805,745.1,2080.0,1090.0,51038,38.0,3.6375861597263857,sh,6.035481432524756,-2.52571614438638,-1.6959837884613274,16.312468136085453,6.614859639477468,6.994849985833071,7.640603826393634,4.584039404358018,1,0,1,3,4
4,2019,1003,Lübeck,1,289.0,0.08,1,0,0,2016.0,1,1,3.0,324.0,324.0769230769231,13.0,False,False,0.25806451612903225,9851558.0,74006.0,45427.0,0.14602882037533513,768.5605260942762,1010.9,2915.0,4473,22.307692307692307,3.104931565518983,sh,5.66988092298052,-2.52571614438638,-1.9239444289836867,16.10314027473592,6.645819606578503,7.977968093128549,6.919585030735714,5.7840618407144655,1,0,1,3,4
5,2019,1004,Neumünster,1,128.0,0.08,1,0,0,2016.0,1,1,3.0,150.0,40.77777777777778,9.0,False,False,0.25806451612903225,3519766.0,65412.0,44084.0,0.13079003227588612,768.5605260942762,1119.1,185.0,496,14.333333333333334,2.662587827025453,sh,4.859812404361672,-2.52571614438638,-2.034154402891333,15.073905352201596,6.645819606578503,5.225746673713202,7.021173246017693,3.732364566053675,1,0,1,3,4
6,2019,1054,Nordfriesland,1,298.0,0.08,1,0,0,2016.0,1,1,3.0,320.0,70.125,16.0,False,False,0.25806451612903225,6123590.0,66397.0,36949.0,0.11875099642426037,904.8,79.6,8399.0,1441,18.6875,2.9278548511509053,sh,5.700443573390687,-2.52571614438638,-2.130718024214935,15.627659247115291,6.808818531122114,9.035986984831405,4.389498649512583,4.264438892446495,1,0,1,3,4
7,2019,1055,Ostholstein,1,655.0,0.08,1,0,0,2016.0,1,1,3.0,1131.0,40.78787878787879,33.0,False,False,0.25806451612903225,5625323.0,60571.0,28048.0,0.11208546214584302,607.7,144.0,5653.0,2419,19.87878787878788,2.989653227477609,sh,6.486160788944089,-2.52571614438638,-2.1884847220679675,15.542789104395942,6.411325535499879,8.640118538253535,4.976733742420574,3.7326063163268217,1,0,1,3,4
8,2019,1056,Pinneberg,1,2327.0,0.08,1,0,0,2016.0,1,1,3.0,215146.0,18.136986301369863,73.0,False,False,0.25806451612903225,9633372.0,72481.0,30558.0,0.12096149212324084,806.8333333333334,475.9,3777.0,216153,31.89041095890411,3.462305367702937,sh,7.752764808851328,-2.52571614438638,-2.1122747638924424,16.080743982053132,6.6943557666173215,8.236950048061455,6.167306825304179,2.9516229181085705,1,0,1,3,4
9,2019,1057,Plön,1,109.0,0.08,1,0,0,2016.0,1,1,3.0,138.0,14.5,14.0,False,False,0.25806451612903225,2784215.0,61736.0,21639.0,0.15238647444851489,767.475,118.8,11043.0,310,7.857142857142857,2.0614230361771577,sh,4.700480365792417,-2.52571614438638,-1.8813288277653029,14.83947688363369,6.64440803154515,9.309642573050045,4.785823685681349,2.740840023925201,1,0,1,3,4
10,2019,1058,Rendsburg-Eckernförde,1,2995.0,0.08,1,0,0,2016.0,1,1,3.0,3086.0,6.4523809523809526,42.0,False,False,0.25806451612903225,8585255.0,70569.0,31398.0,0.1372338453474473,906.5555555555555,125.2,9567.0,3264,71.33333333333333,4.267363726353742,sh,8.005033344637111,-2.52571614438638,-1.9860616211008795,15.965556871321656,6.810754782508282,9.166179476190413,4.837867950107113,2.008533572256785,1,0,1,3,4
