GENESIS-Tabelle: 14342-01-03-4
Landtagswahlen: Brandenburg- Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Brandenburg;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
27.09.2009;12065;    Oberhavel, Landkreis;169428;68,0;112489;23425;38723;7448;9032;26132;-;7729
27.09.2009;12066;    Oberspreewald-Lausitz, Landkreis;106841;64,2;66571;14955;21126;2139;4382;17945;-;6024
27.09.2009;12067;    Oder-Spree, Landkreis;157554;67,7;104002;19397;32988;5311;7602;30948;-;7756
27.09.2009;12068;    Ostprignitz-Ruppin, Landkreis;89172;61,7;53521;10176;18783;2623;3519;14769;-;3651
27.09.2009;12069;    Potsdam-Mittelmark, Landkreis;169934;71,6;118738;24955;42138;8841;9759;26276;-;6769
27.09.2009;12070;    Prignitz, Landkreis;72400;64,5;45433;9263;16838;1429;2979;12160;-;2764
27.09.2009;12071;    Spree-Neiße, Landkreis;110944;66,8;71904;15206;23131;3103;5197;19261;-;6006
27.09.2009;12072;    Teltow-Fläming, Landkreis;136097;68,0;90052;17713;30439;4921;7382;22999;-;6598
27.09.2009;12073;    Uckermark, Landkreis;111123;63,5;68454;13638;23667;2456;4246;19268;-;5179
19.09.2004;12;Brandenburg;2117145;56,4;1168909;227062;372942;42091;38890;326801;-;161123
19.09.2004;12051;    Brandenburg an der Havel, kreisfreie Stadt;63797;48,4;30227;6013;11035;865;913;7807;-;3594
19.09.2004;12052;    Cottbus, kreisfreie Stadt;87661;52,8;45737;7605;15588;1562;1418;13412;-;6152
19.09.2004;12053;    Frankfurt (Oder), kreisfreie Stadt;53532;54,2;28355;4999;8106;986;887;9408;-;3969
19.09.2004;12054;    Potsdam, kreisfreie Stadt;117519;63,1;72844;10427;25592;5596;1873;22074;-;7282
19.09.2004;12060;    Barnim, Landkreis;145498;54,8;78132;13317;23121;2873;2217;26095;-;10509
19.09.2004;12061;    Dahme-Spreewald, Landkreis;132871;58,7;76310;15210;24186;2645;2582;20550;-;11137
19.09.2004;12062;    Elbe-Elster, Landkreis;104748;58,4;59746;13754;18847;1002;2169;14338;-;9636
19.09.2004;12063;    Havelland, Landkreis;124363;55,9;68263;15036;22121;3154;2648;16898;-;8406
19.09.2004;12064;    Märkisch-Oderland, Landkreis;158122;55,8;86321;15719;25126;2560;2457;28391;-;12068
19.09.2004;12065;    Oberhavel, Landkreis;162561;55,4;88360;17884;29137;4132;3186;22538;-;11483
19.09.2004;12066;    Oberspreewald-Lausitz, Landkreis;112654;57,0;62604;13176;18111;1146;2090;17135;-;10946
19.09.2004;12067;    Oder-Spree, Landkreis;158672;56,6;87399;16227;26180;2554;2633;26164;-;13641
19.09.2004;12068;    Ostprignitz-Ruppin, Landkreis;90459;51,8;45839;8509;15605;1583;1616;13040;-;5486
19.09.2004;12069;    Potsdam-Mittelmark, Landkreis;164076;60,9;98034;21678;33378;5391;3911;22680;-;10996
19.09.2004;12070;    Prignitz, Landkreis;75547;56,6;41913;8527;15565;689;1333;10904;-;4895
19.09.2004;12071;    Spree-Neiße, Landkreis;116302;57,0;64621;13860;19452;1295;2140;17198;-;10676
19.09.2004;12072;    Teltow-Fläming, Landkreis;132352;56,9;73784;14292;24252;2677;2684;18902;-;10977
19.09.2004;12073;    Uckermark, Landkreis;116411;53,1;60420;10829;17540;1381;2133;19267;-;9270
05.09.1999;12;Brandenburg;2056834;54,3;1102360;292634;433521;21410;20472;257309;-;77014
05.09.1999;12051;    Brandenburg an der Havel, kreisfreie Stadt;64977;48,1;30890;7562;12810;534;610;7448;-;1926
05.09.1999;12052;    Cottbus, kreisfreie Stadt;88825;55,3;48667;11106;20252;966;1019;12887;-;2437
05.09.1999;12053;    Frankfurt (Oder), kreisfreie Stadt;58707;51,7;29999;7729;10760;609;432;8634;-;1835
05.09.1999;12054;    Potsdam, kreisfreie Stadt;102273;60,4;61213;12526;23268;2579;907;19398;-;2535
05.09.1999;12060;    Barnim, Landkreis;132506;49,8;65230;16173;23136;1354;1123;18599;-;4845
05.09.1999;12061;    Dahme-Spreewald, Landkreis;124661;58,6;71930;19074;28789;1450;1235;16426;-;4956
05.09.1999;12062;    Elbe-Elster, Landkreis;107353;56,9;60258;19340;21815;678;1165;11535;-;5725
05.09.1999;12063;    Havelland, Landkreis;112570;52,5;58382;16732;22626;1360;1154;12351;-;4159
05.09.1999;12064;    Märkisch-Oderland, Landkreis;145367;52,3;74833;18288;28510;1239;1253;19459;-;6084
05.09.1999;12065;    Oberhavel, Landkreis;149577;52,4;77478;20409;31509;1677;1236;16514;-;6133
05.09.1999;12066;    Oberspreewald-Lausitz, Landkreis;119388;55,0;64550;18868;26415;681;992;12778;-;4816
05.09.1999;12067;    Oder-Spree, Landkreis;155057;53,1;81282;20806;30822;1348;1808;19963;-;6535
05.09.1999;12068;    Ostprignitz-Ruppin, Landkreis;89766;52,5;46265;12421;19241;1076;960;9633;-;2934
05.09.1999;12069;    Potsdam-Mittelmark, Landkreis;158949;58,8;92211;26757;36364;2495;1855;19495;-;5245
05.09.1999;12070;    Prignitz, Landkreis;78209;53,3;41158;12144;17242;534;789;8284;-;2165
05.09.1999;12071;    Spree-Neiße, Landkreis;123095;56,9;69188;19979;27687;813;1256;13894;-;5559
05.09.1999;12072;    Teltow-Fläming, Landkreis;124516;55,7;68290;18060;27316;1289;1448;15105;-;5072
05.09.1999;12073;    Uckermark, Landkreis;121038;50,6;60536;14660;24959;728;1230;14906;-;4053
11.09.1994;12;Brandenburg;1933680;56,3;1072019;200700;580422;31033;23541;200628;-;35695
11.09.1994;12051;    Brandenburg an der Havel, kreisfreie Stadt;70402;46,9;32436;5150;17993;919;681;6026;-;1667
11.09.1994;12052;    Cottbus, kreisfreie Stadt;94785;50,7;47384;7902;24276;1434;1024;11243;-;1505
11.09.1994;12053;    Frankfurt (Oder), kreisfreie Stadt;61856;51,2;31224;4813;15704;974;427;8236;-;1070
11.09.1994;12054;    Potsdam, kreisfreie Stadt;105397;58,3;60905;6819;28883;2379;1287;19881;-;1656
11.09.1994;12060;    Barnim, Landkreis;114260;48,9;54932;10141;29293;1799;988;11134;-;1577
11.09.1994;12061;    Dahme-Spreewald, Landkreis;109378;58,0;62417;11883;34637;1733;1283;10899;-;1982
11.09.1994;12062;    Elbe-Elster, Landkreis;106588;54,5;56788;15172;28933;1689;1632;7106;-;2256
11.09.1994;12063;    Havelland, Landkreis;99805;52,9;52041;9113;29602;1342;1553;8584;-;1847
11.09.1994;12064;    Märkisch-Oderland, Landkreis;128574;52,5;66358;11264;36247;1800;1506;13586;-;1955
11.09.1994;12065;    Oberhavel, Landkreis;129725;52,6;67150;11875;37479;2023;1259;12125;-;2389
11.09.1994;12066;    Oberspreewald-Lausitz, Landkreis;121426;50,0;59413;14230;31569;1701;1266;8651;-;1996
11.09.1994;12067;    Oder-Spree, Landkreis;143434;52,5;74243;13949;40464;2060;1309;13558;-;2903
11.09.1994;12068;    Ostprignitz-Ruppin, Landkreis;86227;50,7;42975;7954;25328;1143;1082;5933;-;1535
11.09.1994;12069;    Potsdam-Mittelmark, Landkreis;133592;56,9;74928;13766;42809;2442;1941;11823;-;2147
11.09.1994;12070;    Prignitz, Landkreis;79405;51,9;40487;8932;23516;829;976;5381;-;853
11.09.1994;12071;    Spree-Neiße, Landkreis;115278;51,8;58467;14550;29236;1314;1274;9252;-;2841
11.09.1994;12072;    Teltow-Fläming, Landkreis;111993;54,5;60083;10112;35223;1732;1325;9627;-;2064
11.09.1994;12073;    Uckermark, Landkreis;121555;49,6;59285;11581;33580;1522;1173;10108;-;1321
__________
"Zu  Wahlbeteiligung in %
Brandenburg (1994, 1998): Briefwahlergebnisse nur im
Landesergebnis enthalten.
 
Zu  Gültige Stimmen
Berlin, Brandenburg, Mecklenburg-Vorpommern, Niedersachsen:
Zweitstimmen.
 
Zu  Von den gültigen Stimmen entfielen
Berlin, Brandenburg, Mecklenburg-Vorpommern, Niedersachsen:
Zweitstimmen.
Brandenburg (1994,1998): Briefwahlergebnisse nur im
Landesergebnis enthalten.
 
zu ""CDU/CSU"":
CSU nur in Bayern"
"© Statistische Ämter des Bundes und der Länder, Deutschland, 2023.
Dieses Werk ist lizenziert unter der Datenlizenz Deutschland
- Namensnennung - Version 2.0."
Stand: 14.11.2023 / 11:23:16
