GENESIS-Tabelle: 14345-01-04-4
Landtagswahlen: Sachsen-Anhalt - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Sachsen-Anhalt;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
13.03.2016;15089;    Salzlandkreis;167136;57,5;93726;28076;9321;3312;5269;15020;24893;7835
13.03.2016;15090;    Stendal, Landkreis;96259;59,2;55614;17930;6220;2155;2392;9299;13866;3752
13.03.2016;15091;    Wittenberg, Landkreis;109844;63,4;68237;22914;6303;2464;2818;9904;16488;7346
13.03.2016;151;  Dessau, Statistische Region;-;-;-;-;-;-;-;-;-;-
13.03.2016;15101;    Dessau, kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
13.03.2016;15151;    Anhalt-Zerbst, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15153;    Bernburg, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15154;    Bitterfeld, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15159;    Köthen, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15171;    Wittenberg, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;152;  Halle, Statistische Region;-;-;-;-;-;-;-;-;-;-
13.03.2016;15202;    Halle (Saale), kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
13.03.2016;15256;    Burgenlandkreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15260;    Mansfelder Land, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15261;    Merseburg-Querfurt, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15265;    Saalkreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15266;    Sangerhausen, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15268;    Weißenfels, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;153;  Magdeburg, Statistische Region;-;-;-;-;-;-;-;-;-;-
13.03.2016;15303;    Magdeburg, kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
13.03.2016;15352;    Aschersleben-Staßfurt, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15355;    Bördekreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15357;    Halberstadt, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15358;    Jerichower Land, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15362;    Ohrekreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15363;    Stendal, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15364;    Quedlinburg, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15367;    Schönebeck, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15369;    Wernigerode, Kreis;-;-;-;-;-;-;-;-;-;-
13.03.2016;15370;    Altmarkkreis Salzwedel, Kreis;-;-;-;-;-;-;-;-;-;-
20.03.2011;15;Sachsen-Anhalt;1988172;51,2;993502;323019;213611;70922;38173;235011;-;112766
20.03.2011;15001;    Dessau-Roßlau, kreisfreie Stadt;74845;52,8;38792;12417;7791;3663;1268;9303;-;4350
20.03.2011;15002;    Halle (Saale), kreisfreie Stadt;192159;52,9;99746;27241;21174;12869;4656;24136;-;9670
20.03.2011;15003;    Magdeburg, kreisfreie Stadt, Landeshauptstadt;195367;56,9;108632;32398;26062;10912;3145;25890;-;10225
20.03.2011;15081;    Altmarkkreis Salzwedel;75928;50,3;37348;11409;8428;2752;1795;9512;-;3452
20.03.2011;15082;    Anhalt-Bitterfeld, Landkreis;151501;48,4;71382;23286;14298;3962;3327;17378;-;9131
20.03.2011;15083;    Börde, Landkreis;152393;51,6;76675;26542;16744;4380;3259;16490;-;9260
20.03.2011;15084;    Burgenlandkreis;166193;49,4;79986;25872;16009;4497;3164;18657;-;11787
20.03.2011;15085;    Harz, Landkreis;199520;51,4;99970;34140;22218;7113;3200;22540;-;10759
20.03.2011;15086;    Jerichower Land, Landkreis;82126;51,5;41242;14460;9376;2479;1413;9239;-;4275
20.03.2011;15087;    Mansfeld-Südharz, Landkreis;130498;49,8;63279;18594;14965;2958;2322;16377;-;8063
20.03.2011;15088;    Saalekreis;167584;49,9;81655;27243;16622;4818;4029;18952;-;9991
20.03.2011;15089;    Salzlandkreis;180252;47,1;82594;27405;17428;4506;3245;20657;-;9353
20.03.2011;15090;    Stendal, Landkreis;102375;50,2;50377;17523;10907;2868;1461;12827;-;4791
20.03.2011;15091;    Wittenberg, Landkreis;117431;53,8;61824;24489;11589;3145;1889;13053;-;7659
20.03.2011;151;  Dessau, Statistische Region;-;-;-;-;-;-;-;-;-;-
20.03.2011;15101;    Dessau, kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
