GENESIS-Tabelle: 14336-01-03-4
Landtagswahlen: Hessen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, G¸ltige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. St‰dte;;;;;;;;;;;;
Landtagswahlen: Hessen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GR‹NE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
22.09.2013;06531;    Gieﬂen, Landkreis;195081;73,2;139099;51789;44933;14518;6469;7747;4599;9044
22.09.2013;06532;    Lahn-Dill-Kreis;192292;69,0;128866;54472;41639;9288;5022;5627;5131;7687
22.09.2013;06533;    Limburg-Weilburg, Landkreis;130012;71,4;90335;40752;26389;6541;4098;3486;4087;4982
22.09.2013;06534;    Marburg-Biedenkopf, Landkreis;183881;70,9;127396;45829;46624;13941;4281;7259;4047;5415
22.09.2013;06535;    Vogelsbergkreis;86907;73,0;61449;24251;20608;4588;2940;2959;2254;3849
22.09.2013;066;  Kassel, Regierungsbezirk;951864;73,0;673883;251994;237653;61300;26944;35642;26282;34068
22.09.2013;06611;    Kassel, kreisfreie Stadt, documenta-Stadt;142105;68,4;94752;27230;31825;15315;3398;8698;3226;5060
22.09.2013;06631;    Fulda, Landkreis;168508;73,4;120487;65187;25896;8528;5116;4604;4912;6244
22.09.2013;06632;    Hersfeld-Rotenburg, Landkreis;96483;72,7;68093;25416;26187;4416;2351;3211;2795;3717
22.09.2013;06633;    Kassel, Landkreis;190431;75,6;139287;44445;58447;12704;4686;7185;5277;6543
22.09.2013;06634;    Schwalm-Eder-Kreis;145288;75,1;105438;35111;42570;8387;4360;4905;4243;5862
22.09.2013;06635;    Waldeck-Frankenberg, Landkreis;125987;71,0;87027;34291;29672;7214;4967;3679;3215;3989
22.09.2013;06636;    Werra-Meiﬂner-Kreis;83062;73,3;58799;20314;23056;4736;2066;3360;2614;2653
18.01.2009;06;Hessen;4375286;61,0;2591872;963763;614648;356040;420426;139074;-;97921
18.01.2009;064;  Darmstadt, Regierungsbezirk;2620658;61,9;1576303;593959;327432;240227;270740;85101;-;58844
18.01.2009;06411;    Darmstadt, kreisfreie Stadt, Wissenschaftsstadt;98087;62,8;60073;17269;12730;14907;9051;4322;-;1794
18.01.2009;06412;    Frankfurt am Main, kreisfreie Stadt;395834;59,4;229893;75211;45421;45134;38640;18003;-;7484
18.01.2009;06413;    Offenbach am Main, kreisfreie Stadt;66517;53,6;34483;11694;7311;6350;4881;2598;-;1649
18.01.2009;06414;    Wiesbaden, kreisfreie Stadt, Landeshauptstadt;186615;57,9;105397;38891;22292;16877;18184;5908;-;3245
18.01.2009;06431;    Bergstraﬂe, Landkreis;198575;58,1;111994;45366;24829;13728;18128;4777;-;5166
18.01.2009;06432;    Darmstadt-Dieburg, Landkreis;210760;64,5;131256;46374;30699;20932;21604;6541;-;5106
18.01.2009;06433;    Groﬂ-Gerau, Landkreis;171402;61,6;101722;35234;25253;16031;14704;5888;-;4612
18.01.2009;06434;    Hochtaunuskreis;163020;69,2;110696;48194;16593;14987;23589;4454;-;2879
18.01.2009;06435;    Main-Kinzig-Kreis;297913;60,1;173006;68756;38135;20747;28470;9327;-;7571
18.01.2009;06436;    Main-Taunus-Kreis;163093;69,2;110219;46131;17251;16349;22526;4257;-;3705
18.01.2009;06437;    Odenwaldkreis;73202;60,6;42779;15573;11455;4912;6329;2703;-;1807
18.01.2009;06438;    Offenbach, Landkreis;236641;63,1;144536;58522;26896;21327;25814;6619;-;5358
18.01.2009;06439;    Rheingau-Taunus-Kreis;137460;65,6;88075;35144;18083;11996;16333;3708;-;2811
18.01.2009;06440;    Wetteraukreis;221539;61,3;132174;51600;30484;15950;22487;5996;-;5657
18.01.2009;065;  Gieﬂen, Regierungsbezirk;793720;58,8;454641;168713;120022;53362;68073;24462;-;20009
18.01.2009;06531;    Gieﬂen, Landkreis;193204;61,2;115086;36994;33115;15846;17374;6249;-;5508
18.01.2009;06532;    Lahn-Dill-Kreis;194145;54,3;102616;42285;25092;10418;15187;4797;-;4837
18.01.2009;06533;    Limburg-Weilburg, Landkreis;131539;59,0;75608;34341;15680;6611;12340;3300;-;3336
18.01.2009;06534;    Marburg-Biedenkopf, Landkreis;184686;59,8;107869;35592;31674;15413;14730;7305;-;3155
