GENESIS-Tabelle: 14346-01-03-4
Landtagswahlen: Thüringen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Thüringen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
30.08.2009;16052;    Gera, kreisfreie Stadt;85482;53,0;44488;12197;7002;2486;3727;16096;-;2980
30.08.2009;16053;    Jena, kreisfreie Stadt;84679;59,1;49407;11155;11001;6818;4571;12840;-;3022
30.08.2009;16054;    Suhl, kreisfreie Stadt;34101;55,0;18489;4590;2949;1091;1287;7108;-;1464
30.08.2009;16055;    Weimar, kreisfreie Stadt;51504;58,9;29910;7726;5663;4433;2367;7520;-;2201
30.08.2009;16056;    Eisenach, kreisfreie Stadt;35630;55,8;19567;5195;3788;1647;1369;5600;-;1968
30.08.2009;16061;    Eichsfeld, Landkreis;87794;62,7;54184;26656;7098;2170;4282;7787;-;6191
30.08.2009;16062;    Nordhausen, Landkreis;76570;54,3;40930;11990;8920;2363;3157;12019;-;2481
30.08.2009;16063;    Wartburgkreis;113478;55,1;61389;20934;11008;2780;3648;15832;-;7187
30.08.2009;16064;    Unstrut-Hainich-Kreis;92418;55,5;50276;16385;9912;2259;4410;12763;-;4547
30.08.2009;16065;    Kyffhäuserkreis;71705;53,2;37412;11385;7574;1644;2430;11595;-;2784
30.08.2009;16066;    Schmalkalden-Meiningen, Landkreis;113862;54,2;60671;19040;10889;3057;4350;17059;-;6276
30.08.2009;16067;    Gotha, Landkreis;118354;56,8;65974;20445;14981;3501;4543;16036;-;6468
30.08.2009;16068;    Sömmerda, Landkreis;63154;56,1;34645;11003;5773;1693;2692;9253;-;4231
30.08.2009;16069;    Hildburghausen, Landkreis;58782;53,4;30845;9681;5462;1363;2197;9663;-;2479
30.08.2009;16070;    Ilm-Kreis;95863;58,0;54356;15563;9732;3599;3793;15408;-;6261
30.08.2009;16071;    Weimarer Land, Landkreis;71550;58,4;41021;13285;7521;2606;3576;9834;-;4199
30.08.2009;16072;    Sonneberg, Landkreis;52886;52,4;27234;9272;4132;854;1642;9308;-;2026
30.08.2009;16073;    Saalfeld-Rudolstadt, Landkreis;102426;55,2;55628;17219;10113;2577;4058;15963;-;5698
30.08.2009;16074;    Saale-Holzland-Kreis;74170;59,2;43178;14335;7371;2214;3758;12185;-;3315
30.08.2009;16075;    Saale-Orla-Kreis;75997;57,1;42602;13533;7916;1637;3366;12325;-;3825
30.08.2009;16076;    Greiz, Landkreis;95068;57,1;53196;18717;9411;2486;4761;13797;-;4024
30.08.2009;16077;    Altenburger Land, Landkreis;87157;51,0;43397;14862;8272;1593;3390;11828;-;3452
13.06.2004;16;Thüringen;1958041;53,8;1010578;434088;146297;45649;36483;263717;-;84344
13.06.2004;16051;    Erfurt, kreisfreie Stadt;164402;51,8;82138;29640;11941;6976;2951;25624;-;5006
13.06.2004;16052;    Gera, kreisfreie Stadt;88511;48,3;41176;14745;5584;1776;1423;14367;-;3281
13.06.2004;16053;    Jena, kreisfreie Stadt;83625;57,9;46822;14831;9000;5579;2037;12072;-;3303
13.06.2004;16054;    Suhl, kreisfreie Stadt;36872;50,7;18040;6062;2575;717;662;6432;-;1592
13.06.2004;16055;    Weimar, kreisfreie Stadt;51362;55,1;27328;10305;4257;3415;1020;6424;-;1907
13.06.2004;16056;    Eisenach, kreisfreie Stadt;36417;51,2;18041;6726;2986;1323;552;5265;-;1189
13.06.2004;16061;    Eichsfeld, Landkreis;88888;60,6;52108;34473;5070;1416;1576;6461;-;3112
13.06.2004;16062;    Nordhausen, Landkreis;78519;48,5;36600;14983;5879;1382;1385;10964;-;2007
13.06.2004;16063;    Wartburgkreis;116611;56,6;63143;25541;8958;2160;1899;15104;-;9481
13.06.2004;16064;    Unstrut-Hainich-Kreis;94654;52,6;47384;22261;7026;1336;1662;11578;-;3521
13.06.2004;16065;    Kyffhäuserkreis;75426;50,9;36545;16097;5343;987;1192;9939;-;2987
13.06.2004;16066;    Schmalkalden-Meiningen, Landkreis;117000;54,8;61636;23360;8341;2129;2437;16082;-;9287
13.06.2004;16067;    Gotha, Landkreis;120271;55,8;64311;28846;9043;2449;2283;16558;-;5132
13.06.2004;16068;    Sömmerda, Landkreis;65083;54,7;34065;15730;4301;1173;1346;8943;-;2572
13.06.2004;16069;    Hildburghausen, Landkreis;60050;51,1;29496;13202;4810;821;914;7627;-;2122
13.06.2004;16070;    Ilm-Kreis;98481;55,8;52371;23183;7542;2349;1848;13842;-;3607
13.06.2004;16071;    Weimarer Land, Landkreis;73146;57,0;40043;18457;5454;1687;1631;9177;-;3637
13.06.2004;16072;    Sonneberg, Landkreis;55551;49,5;26302;11448;3872;701;829;7588;-;1864
13.06.2004;16073;    Saalfeld-Rudolstadt, Landkreis;106423;53,8;54752;23716;8190;1763;1944;14336;-;4803
13.06.2004;16074;    Saale-Holzland-Kreis;76005;58,4;42550;18949;6324;1577;1764;10674;-;3262
13.06.2004;16075;    Saale-Orla-Kreis;79016;54,6;41268;18311;6032;1193;1476;11040;-;3216
13.06.2004;16076;    Greiz, Landkreis;100011;54,4;52071;24793;7356;1692;1902;12214;-;4114
13.06.2004;16077;    Altenburger Land, Landkreis;91717;48,8;42388;18429;6413;1048;1750;11406;-;3342
12.09.1999;16;Thüringen;1965937;59,9;1161181;592474;214801;21617;13001;247906;-;71382
12.09.1999;16051;    Erfurt, kreisfreie Stadt;161226;61,6;98253;47829;17187;3161;803;24690;-;4583
12.09.1999;16052;    Gera, kreisfreie Stadt;93140;56,0;51601;21502;9035;816;413;16812;-;3023
12.09.1999;16053;    Jena, kreisfreie Stadt;77659;59,9;46115;18938;10332;2482;917;11131;-;2315
12.09.1999;16054;    Suhl, kreisfreie Stadt;39689;58,2;22907;10512;3642;391;134;7252;-;976
12.09.1999;16055;    Weimar, kreisfreie Stadt;48971;60,3;29164;14263;5635;1388;296;6035;-;1547
12.09.1999;16056;    Eisenach, kreisfreie Stadt;36047;58,8;20932;10285;4243;601;225;4643;-;935
12.09.1999;16061;    Eichsfeld, Landkreis;87565;63,3;54769;37482;7531;809;650;6098;-;2199
12.09.1999;16062;    Nordhausen, Landkreis;79700;58,4;45928;22003;10609;686;380;10254;-;1996
12.09.1999;16063;    Wartburgkreis;116942;59,4;68415;35943;13723;1071;776;12898;-;4004
12.09.1999;16064;    Unstrut-Hainich-Kreis;95432;60,3;56733;29795;11918;776;634;10495;-;3115
12.09.1999;16065;    Kyffhäuserkreis;77154;57,2;43440;21160;8903;435;462;9775;-;2705
12.09.1999;16066;    Schmalkalden-Meiningen, Landkreis;117250;59,4;68673;35896;12039;1138;797;14923;-;3880
12.09.1999;16067;    Gotha, Landkreis;120781;61,2;72882;37592;13604;1116;718;13942;-;5910
12.09.1999;16068;    Sömmerda, Landkreis;65714;60,2;38925;20646;6473;567;500;7868;-;2871
12.09.1999;16069;    Hildburghausen, Landkreis;59531;59,1;34697;17524;6678;409;451;7695;-;1940
12.09.1999;16070;    Ilm-Kreis;98720;63,9;62120;34316;10696;1020;482;11881;-;3725
12.09.1999;16071;    Weimarer Land, Landkreis;72383;63,3;45180;25010;7880;746;625;7681;-;3238
12.09.1999;16072;    Sonneberg, Landkreis;56523;58,2;32396;15237;6137;306;421;8082;-;2213
12.09.1999;16073;    Saalfeld-Rudolstadt, Landkreis;108987;61,0;65612;33431;12419;874;706;13377;-;4805
12.09.1999;16074;    Saale-Holzland-Kreis;75281;61,5;45746;23097;7886;806;818;9175;-;3964
12.09.1999;16075;    Saale-Orla-Kreis;80012;60,1;47584;24031;8912;563;515;9402;-;4161
12.09.1999;16076;    Greiz, Landkreis;101879;59,6;59677;31811;10925;807;644;11592;-;3898
12.09.1999;16077;    Altenburger Land, Landkreis;95351;52,7;49432;24171;8394;649;634;12205;-;3379
16.10.1994;16;Thüringen;1954248;74,8;1422671;606016;420487;64006;45737;235742;-;50683
16.10.1994;16051;    Erfurt, kreisfreie Stadt;166669;72,8;118779;42193;34224;6846;2996;27031;-;5489
16.10.1994;16052;    Gera, kreisfreie Stadt;97795;71,8;68902;24782;17797;3209;1795;18585;-;2734
16.10.1994;16053;    Jena, kreisfreie Stadt;79197;75,9;58666;17637;19730;4725;2368;11875;-;2331
16.10.1994;16054;    Suhl, kreisfreie Stadt;41629;74,9;30610;10826;7357;1354;698;9005;-;1370
16.10.1994;16055;    Weimar, kreisfreie Stadt;48140;74,1;34871;13143;10138;2594;1514;5799;-;1683
16.10.1994;16056;    Eisenach, kreisfreie Stadt;.;.;.;.;.;.;.;.;-;.
16.10.1994;16061;    Eichsfeld, Landkreis;85186;81,6;67987;41226;14922;1970;1825;5946;-;2098
16.10.1994;16062;    Nordhausen, Landkreis;79829;74,1;57762;23513;18751;1906;1342;10445;-;1805
16.10.1994;16063;    Wartburgkreis;151761;75,4;111245;47107;35480;5453;3475;16452;-;3278
16.10.1994;16064;    Unstrut-Hainich-Kreis;94279;75,9;69503;31016;22841;2387;2286;9224;-;1749
16.10.1994;16065;    Kyffhäuserkreis;77193;73,0;54612;23857;17041;1829;1627;8871;-;1387
16.10.1994;16066;    Schmalkalden-Meiningen, Landkreis;115576;75,8;84900;38408;23494;3846;2978;13471;-;2703
16.10.1994;16067;    Gotha, Landkreis;116748;74,9;84864;36920;27366;4089;2699;11117;-;2673
16.10.1994;16068;    Sömmerda, Landkreis;63371;73,7;45274;20995;12909;1976;1531;6375;-;1488
16.10.1994;16069;    Hildburghausen, Landkreis;57994;75,0;42009;18168;12311;1477;2031;6661;-;1361
16.10.1994;16070;    Ilm-Kreis;96795;76,3;71367;31179;21535;2687;1848;11166;-;2952
16.10.1994;16071;    Weimarer Land, Landkreis;68075;75,1;49874;23357;13992;2175;2133;6415;-;1802
16.10.1994;16072;    Sonneberg, Landkreis;56806;76,1;41994;16336;13574;1423;1632;7588;-;1441
16.10.1994;16073;    Saalfeld-Rudolstadt, Landkreis;110003;74,2;79931;33694;24205;3408;2638;12982;-;3004
16.10.1994;16074;    Saale-Holzland-Kreis;70732;75,4;51918;22484;14819;2730;2045;7785;-;2055
16.10.1994;16075;    Saale-Orla-Kreis;79475;75,0;58452;26291;16476;2221;2194;8696;-;2574
16.10.1994;16076;    Greiz, Landkreis;100018;75,2;72966;33771;21341;3086;2269;9966;-;2533
16.10.1994;16077;    Altenburger Land, Landkreis;96977;71,6;66185;29113;20184;2615;1813;10287;-;2173
__________
"zu ""gesamte Tabelle"":
Thüringen (1999): Ergebnis der Stadt Oberhof als
Briefwahlergebnis in der kreisfreien Stadt Suhl enthalten;
(1994): Neufestgestelltes Ergebnis für die kreisfreie Stadt
Erfurt und den Landkreis Weimarer Land aufgrund der
Beschlüsse des Thüringer Landtages; Ergebnisse der
kreisfreien Stadt Eisenach im Wartburgkreis enthalten.
 
zu ""Gültige Stimmen"":
Thüringen: Landesstimmen
 
zu ""Gültigen Stimmen nach Parteien"":
Thüringen: Landesstimmen
 
zu ""CDU/CSU"":
CSU nur in Bayern"
"© Statistische Ämter des Bundes und der Länder, Deutschland, 2023.
Dieses Werk ist lizenziert unter der Datenlizenz Deutschland
- Namensnennung - Version 2.0."
Stand: 14.11.2023 / 11:28:44
