GENESIS-Tabelle: 14333-01-03-4
Landtagswahlen: Niedersachsen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Niedersachsen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09.10.2022;03460;    Vechta, Landkreis;102132;61,7;62434;29411;13974;6748;3189;1092;5802;2218
09.10.2022;03461;    Wesermarsch, Landkreis;68954;54,9;37425;9490;14144;4512;1826;1000;4354;2099
09.10.2022;03462;    Wittmund, Landkreis;46400;59,5;27268;7831;10204;2334;1091;548;3930;1330
15.10.2017;03;Niedersachsen;6098379;63,1;3827850;1287191;1413846;334131;287957;177118;235853;91754
15.10.2017;031;  Braunschweig, Statistische Region;1232401;62,3;763408;225806;310020;63585;53336;37198;53396;20067
15.10.2017;03101;    Braunschweig, kreisfreie Stadt;190754;63,7;120937;31858;45478;14346;9559;8153;7303;4240
15.10.2017;03102;    Salzgitter, kreisfreie Stadt;73602;56,9;41561;10160;18787;1773;2211;2021;5665;944
15.10.2017;03103;    Wolfsburg, kreisfreie Stadt;89468;58,2;51820;15516;22392;2982;3157;2345;4177;1251
15.10.2017;03151;    Gifhorn, Landkreis;135353;63,2;85080;28852;33159;6153;5624;3131;6200;1961
15.10.2017;03152;    Göttingen, Landkreis;-;-;-;-;-;-;-;-;-;-
15.10.2017;03153;    Goslar, Landkreis;109045;59,9;64878;19368;26908;4134;4909;3000;5076;1483
15.10.2017;03154;    Helmstedt, Landkreis;73498;60,1;43897;14274;18206;2517;3102;1733;3001;1064
15.10.2017;03155;    Northeim, Landkreis;107932;62,1;66522;20184;28938;4238;5214;2449;4166;1333
15.10.2017;03156;    Osterode am Harz, Landkreis;-;-;-;-;-;-;-;-;-;-
15.10.2017;03157;    Peine, Landkreis;103023;64,4;66033;19554;29407;4422;3881;2613;4583;1573
15.10.2017;03158;    Wolfenbüttel, Landkreis;96568;68,0;65337;19579;26276;5250;4893;2939;4685;1715
15.10.2017;03159;    Göttingen, Landkreis;253158;62,5;157343;46461;60469;17770;10786;8814;8540;4503
15.10.2017;032;  Hannover, Statistische Region;1619480;64,5;1039380;316539;405423;95595;78900;51204;66667;25052
15.10.2017;03241;    Region Hannover, Landkreis;842392;65,8;551334;156781;214948;55106;42832;31784;35451;14432
15.10.2017;03241001;    Hannover, Landeshauptstadt;371018;64,7;238917;57065;92736;31036;18133;19149;13553;7245
15.10.2017;03251;    Diepholz, Landkreis;168730;62,6;105033;37450;35407;9358;10132;4350;5781;2555
