GENESIS-Tabelle: 14339-01-03-4
Landtagswahlen: Bayern - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Bayern;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
14.10.2018;09377;    Tirschenreuth, Landkreis;59043;74,8;43669;20298;4860;3615;1153;1005;4742;7998
14.10.2018;094;  Oberfranken, Regierungsbezirk;839098;70,9;588422;235397;80159;77408;25010;17076;66120;87253
14.10.2018;09461;    Bamberg, kreisfreie Stadt;55183;68,5;37414;11718;3709;9974;2227;1960;3866;3962
14.10.2018;09462;    Bayreuth, kreisfreie Stadt;56443;65,1;36416;12878;5065;7549;2483;1347;2989;4106
14.10.2018;09463;    Coburg, kreisfreie Stadt;31481;64,4;20087;6662;3523;4238;1132;964;1863;1707
14.10.2018;09464;    Hof, kreisfreie Stadt;33015;61,7;20086;7158;3861;2414;930;768;2755;2202
14.10.2018;09471;    Bamberg, Landkreis;116048;75,0;86279;40027;5777;10578;3940;2120;12285;11553
14.10.2018;09472;    Bayreuth, Landkreis;84153;74,1;61850;27591;7491;6546;2159;1307;5989;10768
14.10.2018;09473;    Coburg, Landkreis;69716;70,0;48336;18654;9359;5781;1732;1382;5125;6303
14.10.2018;09474;    Forchheim, Landkreis;90087;76,6;68405;25122;4682;10645;3162;1863;6913;16020
14.10.2018;09475;    Hof, Landkreis;76937;71,5;54452;21397;12179;4142;1780;1337;6443;7175
14.10.2018;09476;    Kronach, Landkreis;55125;69,9;37921;17176;6206;3303;917;1060;4139;5122
14.10.2018;09477;    Kulmbach, Landkreis;59041;70,9;41425;15703;8058;4164;1785;978;4341;6398
14.10.2018;09478;    Lichtenfels, Landkreis;53825;68,6;36440;15559;4355;4122;1661;828;4171;5746
14.10.2018;09479;    Wunsiedel i.Fichtelgebirge, Landkreis;58044;68,6;39313;15754;5897;3957;1106;1165;5242;6193
14.10.2018;095;  Mittelfranken, Regierungsbezirk;1274988;71,4;903036;340470;107815;167603;37478;42445;85913;121314
14.10.2018;09561;    Ansbach, kreisfreie Stadt;30724;63,0;19185;6596;1716;3752;651;1174;2423;2875
14.10.2018;09562;    Erlangen, kreisfreie Stadt;76439;74,9;56794;17182;7180;15242;3467;3308;3716;6701
14.10.2018;09563;    Fürth, kreisfreie Stadt;86684;65,6;56411;17185;8897;12246;2879;4155;5778;5273
14.10.2018;09564;    Nürnberg, kreisfreie Stadt;340137;67,5;227117;77516;33213;47510;11020;15428;22063;20369
14.10.2018;09565;    Schwabach, kreisfreie Stadt;29987;69,9;20755;8140;2321;4525;937;807;1926;2101
14.10.2018;09571;    Ansbach, Landkreis;140035;71,0;98644;41035;7297;16019;3200;3500;9725;17869
14.10.2018;09572;    Erlangen-Höchstadt, Landkreis;103092;77,2;79056;29783;8861;15426;3488;2612;7110;11777
14.10.2018;09573;    Fürth, Landkreis;91331;74,9;67928;26371;9016;11641;2692;2580;7135;8495
14.10.2018;09574;    Nürnberger Land, Landkreis;129586;76,4;98212;39119;12302;16272;3598;3563;9450;13909
14.10.2018;09575;    Neustadt a.d.Aisch-Bad Windsheim, Landkreis;77230;72,8;55764;25963;4791;6953;1675;1844;4869;9670
14.10.2018;09576;    Roth, Landkreis;97763;75,4;73137;29817;7535;10888;2548;2087;7090;13173
14.10.2018;09577;    Weißenburg-Gunzenhausen, Landkreis;71980;70,4;50036;21766;4687;7131;1326;1391;4632;9104
14.10.2018;096;  Unterfranken, Regierungsbezirk;1013948;71,9;721946;299063;72978;117591;34920;24988;70916;101490
14.10.2018;09661;    Aschaffenburg, kreisfreie Stadt;49548;63,6;31025;10855;4106;6409;2150;1389;3356;2762
14.10.2018;09662;    Schweinfurt, kreisfreie Stadt;37332;58,4;21501;7534;2831;3174;917;1359;3142;2545
14.10.2018;09663;    Würzburg, kreisfreie Stadt;97323;69,0;66663;19990;7131;20040;4523;3436;4611;6933
