GENESIS-Tabelle: 14343-01-04-4
Landtagswahlen: Mecklenburg-Vorpommern - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Mecklenburg-Vorpommern;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
04.09.2011;13003;    Rostock, kreisfreie Stadt;169786;51,6;85767;13965;28980;12252;2116;18539;-;9915
04.09.2011;13004;    Schwerin, kreisfreie Stadt;78076;55,9;42761;7949;16687;4662;975;8104;-;4384
04.09.2011;13005;    Stralsund, Hansestadt,  kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
04.09.2011;13006;    Wismar, Hansestadt,  kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
04.09.2011;13051;    Bad Doberan, Landkreis;-;-;-;-;-;-;-;-;-;-
04.09.2011;13052;    Landkreis Demmin;-;-;-;-;-;-;-;-;-;-
04.09.2011;13053;    Güstrow, Landkreis;-;-;-;-;-;-;-;-;-;-
04.09.2011;13054;    Landkreis Ludwigslust;-;-;-;-;-;-;-;-;-;-
04.09.2011;13055;    Mecklenburg-Strelitz, Landkreis;-;-;-;-;-;-;-;-;-;-
04.09.2011;13056;    Landkreis Müritz;-;-;-;-;-;-;-;-;-;-
04.09.2011;13057;    Nordvorpommern, Landkreis;-;-;-;-;-;-;-;-;-;-
04.09.2011;13058;    Landkreis Nordwestmecklenburg;-;-;-;-;-;-;-;-;-;-
04.09.2011;13059;    Ostvorpommern, Landkreis;-;-;-;-;-;-;-;-;-;-
04.09.2011;13060;    Landkreis Parchim;-;-;-;-;-;-;-;-;-;-
04.09.2011;13061;    Rügen, Landkreis;-;-;-;-;-;-;-;-;-;-
04.09.2011;13062;    Landkreis Uecker-Randow;-;-;-;-;-;-;-;-;-;-
04.09.2011;13071;    Mecklenburgische Seenplatte, Landkreis;230610;50,4;111136;27872;40145;7169;2989;20870;-;12091
