GENESIS-Tabelle: 14341-01-04-4
Landtagswahlen: Berlin - Wahlberechtigte und -beteiligung,;;;;;;;;;;;;
Gültige Stimmen nach Parteien - Wahl-/Stichtag -;;;;;;;;;;;;
Wahl des Abgeordnetenhauses: Berlin;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
18.09.2011;11010010;    Berlin-Marzahn-Hellersdorf;202868;51,0;101723;17780;28636;5732;1314;27863;-;20398
18.09.2011;11011011;    Berlin-Lichtenberg;203709;53,5;107094;13182;33107;8128;936;31076;-;20665
18.09.2011;11012012;    Berlin-Reinickendorf;181562;62,1;110608;42422;31066;15087;2591;3676;-;15766
17.09.2006;11;Berlin;2425480;58,0;1377355;294026;424054;180865;104584;185185;-;188641
17.09.2006;11001001;    Berlin-Mitte;190550;54,5;101803;17360;33073;17442;6976;12921;-;14031
17.09.2006;11002002;    Berlin-Friedrichshain-Kreuzberg;165331;55,9;90619;7869;27295;24142;3696;15188;-;12429
17.09.2006;11003003;    Berlin-Pankow;274380;55,9;150612;17556;45742;23924;7537;33528;-;22325
17.09.2006;11004004;    Berlin-Charlottenburg-Wilmersdorf;216374;64,5;136840;36003;46637;22472;14173;5036;-;12519
17.09.2006;11005005;    Berlin-Spandau;160411;58,6;91089;28389;30401;7522;7776;3417;-;13584
17.09.2006;11006006;    Berlin-Steglitz-Zehlendorf;213787;68,7;144397;45835;40199;22736;18342;4404;-;12881
17.09.2006;11007007;    Berlin-Tempelhof-Schöneberg;231249;62,8;141883;38277;44064;23961;13029;5643;-;16909
17.09.2006;11008008;    Berlin-Neukölln;193014;55,5;104219;29855;32748;11793;8039;5257;-;16527
17.09.2006;11009009;    Berlin-Treptow-Köpenick;193936;57,5;108962;13758;34561;7531;5488;29913;-;17711
17.09.2006;11010010;    Berlin-Marzahn-Hellersdorf;201209;49,3;96810;12658;26618;4194;4625;31426;-;17289
17.09.2006;11011011;    Berlin-Lichtenberg;201096;49,7;97916;9355;28833;5121;4127;34890;-;15590
17.09.2006;11012012;    Berlin-Reinickendorf;184143;62,3;112205;37111;33883;10027;10776;3562;-;16846
21.10.2001;11;Berlin;2417574;68,1;1623338;385692;481772;148066;160953;366292;-;80563
21.10.2001;11001001;    Berlin-Mitte;-;-;-;-;-;-;-;-;-;-
21.10.2001;11002002;    Berlin-Friedrichshain-Kreuzberg;-;-;-;-;-;-;-;-;-;-
21.10.2001;11003003;    Berlin-Pankow;-;-;-;-;-;-;-;-;-;-
21.10.2001;11004004;    Berlin-Charlottenburg-Wilmersdorf;-;-;-;-;-;-;-;-;-;-
21.10.2001;11005005;    Berlin-Spandau;-;-;-;-;-;-;-;-;-;-
21.10.2001;11006006;    Berlin-Steglitz-Zehlendorf;-;-;-;-;-;-;-;-;-;-
21.10.2001;11007007;    Berlin-Tempelhof-Schöneberg;-;-;-;-;-;-;-;-;-;-
21.10.2001;11008008;    Berlin-Neukölln;-;-;-;-;-;-;-;-;-;-
21.10.2001;11009009;    Berlin-Treptow-Köpenick;-;-;-;-;-;-;-;-;-;-
21.10.2001;11010010;    Berlin-Marzahn-Hellersdorf;-;-;-;-;-;-;-;-;-;-
21.10.2001;11011011;    Berlin-Lichtenberg;-;-;-;-;-;-;-;-;-;-
21.10.2001;11012012;    Berlin-Reinickendorf;-;-;-;-;-;-;-;-;-;-
10.10.1999;11;Berlin;2414493;65,5;1563576;637311;349731;155322;34280;276869;-;110063
10.10.1999;11001001;    Berlin-Mitte;-;-;-;-;-;-;-;-;-;-
10.10.1999;11002002;    Berlin-Friedrichshain-Kreuzberg;-;-;-;-;-;-;-;-;-;-
10.10.1999;11003003;    Berlin-Pankow;-;-;-;-;-;-;-;-;-;-
10.10.1999;11004004;    Berlin-Charlottenburg-Wilmersdorf;-;-;-;-;-;-;-;-;-;-
10.10.1999;11005005;    Berlin-Spandau;-;-;-;-;-;-;-;-;-;-
10.10.1999;11006006;    Berlin-Steglitz-Zehlendorf;-;-;-;-;-;-;-;-;-;-
10.10.1999;11007007;    Berlin-Tempelhof-Schöneberg;-;-;-;-;-;-;-;-;-;-
10.10.1999;11008008;    Berlin-Neukölln;-;-;-;-;-;-;-;-;-;-
10.10.1999;11009009;    Berlin-Treptow-Köpenick;-;-;-;-;-;-;-;-;-;-
10.10.1999;11010010;    Berlin-Marzahn-Hellersdorf;-;-;-;-;-;-;-;-;-;-
10.10.1999;11011011;    Berlin-Lichtenberg;-;-;-;-;-;-;-;-;-;-
10.10.1999;11012012;    Berlin-Reinickendorf;-;-;-;-;-;-;-;-;-;-
22.10.1995;11;Berlin;2479735;68,6;1669186;625005;393245;219990;42391;244196;-;144359
22.10.1995;11001001;    Berlin-Mitte;-;-;-;-;-;-;-;-;-;-
22.10.1995;11002002;    Berlin-Friedrichshain-Kreuzberg;-;-;-;-;-;-;-;-;-;-
22.10.1995;11003003;    Berlin-Pankow;-;-;-;-;-;-;-;-;-;-
22.10.1995;11004004;    Berlin-Charlottenburg-Wilmersdorf;-;-;-;-;-;-;-;-;-;-
22.10.1995;11005005;    Berlin-Spandau;-;-;-;-;-;-;-;-;-;-
22.10.1995;11006006;    Berlin-Steglitz-Zehlendorf;-;-;-;-;-;-;-;-;-;-
22.10.1995;11007007;    Berlin-Tempelhof-Schöneberg;-;-;-;-;-;-;-;-;-;-
22.10.1995;11008008;    Berlin-Neukölln;-;-;-;-;-;-;-;-;-;-
22.10.1995;11009009;    Berlin-Treptow-Köpenick;-;-;-;-;-;-;-;-;-;-
22.10.1995;11010010;    Berlin-Marzahn-Hellersdorf;-;-;-;-;-;-;-;-;-;-
22.10.1995;11011011;    Berlin-Lichtenberg;-;-;-;-;-;-;-;-;-;-
22.10.1995;11012012;    Berlin-Reinickendorf;-;-;-;-;-;-;-;-;-;-
__________
"Zu  gesamte Tabelle
Berlin (1995, 1999): bezogen auf den Gebietsstand 01.01.2001

Berlin: Die Wahl vom 26. September 2021 wurde durch Urteil
des Landesverfassungsgerichtshofs Berlin vom 16. November
2022 für ungültig erklärt.

Zu  Gültige Stimmen
Berlin, Brandenburg, Mecklenburg-Vorpommern, Niedersachsen:
Zweitstimmen.
 
Zu  Von den gültigen Stimmen entfielen
Berlin, Brandenburg, Mecklenburg-Vorpommern, Niedersachsen:
Zweitstimmen."
"© Statistische Ämter des Bundes und der Länder, Deutschland, 2023.
Dieses Werk ist lizenziert unter der Datenlizenz Deutschland
- Namensnennung - Version 2.0."
Stand: 14.11.2023 / 11:22:50
