GENESIS-Tabelle: 14344-01-03-4
Landtagswahlen: Sachsen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Sachsen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.08.2014;14177;    Freiberg, Landkreis;-;-;-;-;-;-;-;-;-;-
31.08.2014;14178;    Vogtlandkreis;-;-;-;-;-;-;-;-;-;-
31.08.2014;14181;    Mittlerer Erzgebirgskreis;-;-;-;-;-;-;-;-;-;-
31.08.2014;14182;    Mittweida, Landkreis;-;-;-;-;-;-;-;-;-;-
31.08.2014;14188;    Stollberg, Landkreis;-;-;-;-;-;-;-;-;-;-
31.08.2014;14191;    Aue-Schwarzenberg, Landkreis;-;-;-;-;-;-;-;-;-;-
31.08.2014;14193;    Zwickauer Land, Landkreis;-;-;-;-;-;-;-;-;-;-
31.08.2014;142;  Dresden, Regierungsbezirk;-;-;-;-;-;-;-;-;-;-
31.08.2014;14262;    Dresden, kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
31.08.2014;14263;    Görlitz, kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
31.08.2014;14264;    Hoyerswerda, kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
31.08.2014;14272;    Bautzen, Landkreis;-;-;-;-;-;-;-;-;-;-
31.08.2014;14280;    Meißen, Landkreis;-;-;-;-;-;-;-;-;-;-
31.08.2014;14284;    Niederschlesischer Oberlausitzkreis;-;-;-;-;-;-;-;-;-;-
31.08.2014;14285;    Riesa-Großenhain, Landkreis;-;-;-;-;-;-;-;-;-;-
31.08.2014;14286;    Löbau-Zittau, Landkreis;-;-;-;-;-;-;-;-;-;-
31.08.2014;14287;    Sächsische Schweiz, Landkreis;-;-;-;-;-;-;-;-;-;-
31.08.2014;14290;    Weißeritzkreis;-;-;-;-;-;-;-;-;-;-
31.08.2014;14292;    Kamenz, Landkreis;-;-;-;-;-;-;-;-;-;-
31.08.2014;143;  Leipzig, Regierungsbezirk;-;-;-;-;-;-;-;-;-;-
31.08.2014;14365;    Leipzig, kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
31.08.2014;14374;    Delitzsch, Landkreis;-;-;-;-;-;-;-;-;-;-
31.08.2014;14375;    Döbeln, Landkreis;-;-;-;-;-;-;-;-;-;-
31.08.2014;14379;    Leipziger Land, Landkreis;-;-;-;-;-;-;-;-;-;-
31.08.2014;14383;    Muldentalkreis;-;-;-;-;-;-;-;-;-;-
31.08.2014;14389;    Torgau-Oschatz, Landkreis;-;-;-;-;-;-;-;-;-;-
31.08.2014;145;  Chemnitz, Statistische Region;1239416;47,7;583086;246488;68838;21825;21742;113428;57308;53457
31.08.2014;14511;    Chemnitz, kreisfreie Stadt;199440;47,0;92904;32906;12892;5677;3302;21840;8568;7719
31.08.2014;14521;    Erzgebirgskreis;298176;50,3;147697;65770;14793;4172;5367;26931;16016;14648
31.08.2014;14522;    Mittelsachsen, Landkreis;264792;50,0;130466;58151;14739;4379;5470;23913;12163;11651
31.08.2014;14523;    Vogtlandkreis;199122;45,8;89810;36684;12192;3205;3181;17200;9715;7633
31.08.2014;14524;    Zwickau, Landkreis;277886;44,5;122209;52977;14222;4392;4422;23544;10846;11806
31.08.2014;146;  Dresden, Statistische Region;1319590;53,2;691797;266759;80651;43828;27738;121593;73293;77935
31.08.2014;14612;    Dresden, kreisfreie Stadt;428666;57,2;242931;83270;33347;26511;9344;46176;19809;24474
31.08.2014;14625;    Bautzen, Landkreis;259527;52,3;133715;55999;13631;4098;5220;22058;15866;16843
31.08.2014;14626;    Görlitz, Landkreis;220258;47,1;101849;40398;10572;3944;4089;18361;13418;11067
31.08.2014;14627;    Meißen, Landkreis;204950;52,0;104637;41785;12425;4825;4548;17695;11859;11500
31.08.2014;14628;    Sächsische Schweiz-Osterzgebirge, Landkreis;206189;53,4;108665;45307;10676;4450;4537;17303;12341;14051
31.08.2014;147;  Leipzig, Statistische Region;817621;44,9;362616;132167;52907;28204;12360;74560;29010;33408
31.08.2014;14713;    Leipzig, kreisfreie Stadt;432324;44,3;189582;56715;30685;21342;6132;42926;13862;17920
31.08.2014;14729;    Leipzig, Landkreis;218379;47,1;101447;43988;13583;4317;3779;17942;9215;8623
31.08.2014;14730;    Nordsachsen, Landkreis;166918;43,6;71587;31464;8639;2545;2449;13692;5933;6865
30.08.2009;14;Sachsen;3510336;52,2;1797349;722983;187261;114963;178867;370359;-;222916
30.08.2009;141;  Chemnitz, Regierungsbezirk;-;-;-;-;-;-;-;-;-;-
30.08.2009;14161;    Chemnitz, kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
30.08.2009;14166;    Plauen, kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
30.08.2009;14167;    Zwickau, kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
30.08.2009;14171;    Annaberg, Landkreis;-;-;-;-;-;-;-;-;-;-
30.08.2009;14173;    Chemnitzer Land, Landkreis;-;-;-;-;-;-;-;-;-;-
30.08.2009;14177;    Freiberg, Landkreis;-;-;-;-;-;-;-;-;-;-
30.08.2009;14178;    Vogtlandkreis;-;-;-;-;-;-;-;-;-;-
30.08.2009;14181;    Mittlerer Erzgebirgskreis;-;-;-;-;-;-;-;-;-;-
30.08.2009;14182;    Mittweida, Landkreis;-;-;-;-;-;-;-;-;-;-
30.08.2009;14188;    Stollberg, Landkreis;-;-;-;-;-;-;-;-;-;-
30.08.2009;14191;    Aue-Schwarzenberg, Landkreis;-;-;-;-;-;-;-;-;-;-
30.08.2009;14193;    Zwickauer Land, Landkreis;-;-;-;-;-;-;-;-;-;-
30.08.2009;142;  Dresden, Regierungsbezirk;-;-;-;-;-;-;-;-;-;-
30.08.2009;14262;    Dresden, kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
30.08.2009;14263;    Görlitz, kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
30.08.2009;14264;    Hoyerswerda, kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
30.08.2009;14272;    Bautzen, Landkreis;-;-;-;-;-;-;-;-;-;-
30.08.2009;14280;    Meißen, Landkreis;-;-;-;-;-;-;-;-;-;-
30.08.2009;14284;    Niederschlesischer Oberlausitzkreis;-;-;-;-;-;-;-;-;-;-
30.08.2009;14285;    Riesa-Großenhain, Landkreis;-;-;-;-;-;-;-;-;-;-
30.08.2009;14286;    Löbau-Zittau, Landkreis;-;-;-;-;-;-;-;-;-;-
30.08.2009;14287;    Sächsische Schweiz, Landkreis;-;-;-;-;-;-;-;-;-;-
30.08.2009;14290;    Weißeritzkreis;-;-;-;-;-;-;-;-;-;-
30.08.2009;14292;    Kamenz, Landkreis;-;-;-;-;-;-;-;-;-;-
30.08.2009;143;  Leipzig, Regierungsbezirk;-;-;-;-;-;-;-;-;-;-
30.08.2009;14365;    Leipzig, kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
30.08.2009;14374;    Delitzsch, Landkreis;-;-;-;-;-;-;-;-;-;-
30.08.2009;14375;    Döbeln, Landkreis;-;-;-;-;-;-;-;-;-;-
