GENESIS-Tabelle: 14335-01-03-4
Landtagswahlen: Nordrhein-Westfalen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Nordrhein-Westfalen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
15.05.2022;05911;    Bochum, kreisfreie Stadt;265661;56,5;149197;37902;49870;31405;7315;4620;7826;10259
15.05.2022;05913;    Dortmund, kreisfreie Stadt;404080;53,4;214331;54696;70031;44694;10872;5473;11835;16730
15.05.2022;05914;    Hagen, kreisfreie Stadt;126492;45,3;56875;19046;17648;8006;2995;1046;4303;3831
15.05.2022;05915;    Hamm, kreisfreie Stadt;123865;51,1;62776;21158;22451;7464;2780;1325;4574;3024
15.05.2022;05916;    Herne, kreisfreie Stadt;107808;47,0;50105;12997;19749;6992;2165;1147;3661;3394
15.05.2022;05954;    Ennepe-Ruhr-Kreis;247273;57,2;140213;42795;45100;25059;7808;2533;7887;9031
15.05.2022;05958;    Hochsauerlandkreis;199392;58,2;115180;54438;28249;12722;6305;1279;6177;6010
15.05.2022;05962;    Märkischer Kreis;295432;49,7;145617;56508;40132;18342;8679;2526;10095;9335
15.05.2022;05966;    Olpe, Kreis;100958;59,5;59713;31385;12356;6068;3262;685;3120;2837
15.05.2022;05970;    Siegen-Wittgenstein, Kreis;206040;56,5;115393;42220;33654;14948;6161;2226;8476;7708
15.05.2022;05974;    Soest, Kreis;230819;56,7;129801;53264;32084;19454;8371;2318;7920;6390
15.05.2022;05978;    Unna, Kreis;299776;53,2;158204;50361;53770;24355;7690;2865;9708;9455
14.05.2017;05;Nordrhein-Westfalen;13164887;65,2;8487413;2796683;2649205;539062;1065307;415936;626756;394464
14.05.2017;051;  Düsseldorf, Regierungsbezirk;3736296;64,7;2389631;757484;739110;140424;326882;119060;190554;116117
14.05.2017;05111;    Düsseldorf, kreisfreie Stadt;412309;67,7;276764;85445;73587;22458;48246;17041;17519;12468
14.05.2017;05112;    Duisburg, kreisfreie Stadt;328549;58,4;189133;44140;71249;9344;17824;11356;21927;13293
14.05.2017;05113;    Essen, kreisfreie Stadt;419870;63,8;265302;73484;88498;16513;31588;14899;26051;14269
14.05.2017;05114;    Krefeld, kreisfreie Stadt;163365;60,4;97444;30760;30293;5993;14406;4879;6405;4708
14.05.2017;05116;    Mönchengladbach, kreisfreie Stadt;190503;59,4;111868;40002;30857;6020;15186;5719;8492;5592
14.05.2017;05117;    Mülheim an der Ruhr, kreisfreie Stadt;124241;69,2;84939;23164;29768;5256;11591;4143;7323;3694
